Operation,Sharded,Workers,Clients,Machine type,Machine number,Average CPU usage,Std CPU usage,Average Network receive,Std Network receive,Average Network write,Std Network write
0:1,false,64,2,server,1,11.4,0.817185317095,221162.5,4013.68746423,1837554.16667,34442.4321982
0:1,false,64,2,server,2,7.84583333333,0.575993607364,220779.166667,3739.75628545,1837420.83333,33806.6706585
0:1,false,64,2,server,3,9.02083333333,0.947784076367,214479.166667,3205.0609373,1837491.66667,33582.4436334
0:1,false,64,2,server,total,9.42222222222,0.486543408342,218806.944444,3570.19418648,1837488.88889,33650.7651612
0:3,true,64,2,mw,1,9.01666666667,0.585574357112,5538112.5,215366.504373,5748129.16667,198246.628523
0:3,true,64,2,mw,2,6.30833333333,0.553152326655,6777583.33333,132913.193545,6934508.33333,131261.733519
0:3,true,64,2,mw,total,7.6625,0.486075445748,6157847.91667,152571.717,6341318.75,143838.862203
0:3,true,64,2,client,1,8.2375,0.411486789995,3923966.66667,89593.8891828,205150.0,4641.55388889
0:3,true,64,2,client,2,6.1625,0.45001562717,4066758.33333,98429.4813502,212579.166667,5140.15759608
0:3,true,64,2,client,3,6.50416666667,0.382433359243,3683891.66667,69964.463051,192545.833333,3610.51899289
0:3,true,64,2,client,total,6.96805555556,0.286266224527,3891538.88889,76024.5395524,203425.0,3943.72727776
0:3,true,64,2,server,1,14.5666666667,0.822332451652,344158.333333,2770.63920991,3903233.33333,90810.5770279
0:3,true,64,2,server,2,10.3333333333,0.647400948986,332812.5,3042.98494639,3903266.66667,96888.3301704
0:3,true,64,2,server,3,11.1416666667,0.836533938066,334387.5,3008.86816312,3903537.5,91259.4251726
0:3,true,64,2,server,total,12.0138888889,0.491329733495,337119.444444,2754.06332945,3903345.83333,92074.2055074
0:3,false,64,2,mw,1,8.95,0.595576757185,7211866.66667,207244.704082,7364658.33333,209366.407228
0:3,false,64,2,mw,2,7.29583333333,0.471385873091,8170200.0,177910.592442,8332429.16667,179755.883799
0:3,false,64,2,mw,total,8.12291666667,0.447483784053,7691033.33333,148213.485457,7848543.75,149812.07108
0:3,false,64,2,client,1,11.4,0.541914094738,4890729.16667,116590.705756,255683.333333,6072.90447614
0:3,false,64,2,client,2,8.32083333333,0.372937365359,5206491.66667,134582.021848,272166.666667,7052.94424361
0:3,false,64,2,client,3,8.47916666667,0.479814046259,4525108.33333,79956.7002195,236520.833333,4201.28027838
0:3,false,64,2,client,total,9.4,0.317042119566,4874109.72222,98127.2021531,254790.277778,5140.89632741
0:3,false,64,2,server,1,14.1166666667,0.970884150533,360620.833333,6145.38893838,4874816.66667,95164.9378755
0:3,false,64,2,server,2,9.80416666667,0.646735282801,360125.0,6738.71928134,4874775.0,102402.143951
0:3,false,64,2,server,3,10.7708333333,0.886837250809,358670.833333,6433.14504217,4874391.66667,103379.760565
0:3,false,64,2,server,total,11.5638888889,0.532657506638,359805.555556,6326.49469166,4874661.11111,99112.5804827
0:6,true,64,2,mw,1,10.0791666667,0.583996006961,9933687.5,257989.474942,10260629.1667,341171.845014
0:6,true,64,2,mw,2,7.75833333333,0.491774821831,12129166.6667,297640.746647,12437500.0,268316.363433
0:6,true,64,2,mw,total,8.91875,0.478065833258,11031427.0833,212964.778959,11349064.5833,239831.358492
0:6,true,64,2,client,1,9.47083333333,0.510628938466,7223645.83333,143205.559217,240579.166667,4731.83661782
0:6,true,64,2,client,2,7.14583333333,0.464926683874,7569354.16667,143735.255772,255520.833333,5011.8968872
0:6,true,64,2,client,3,7.49166666667,0.40383185706,6826683.33333,125680.68283,227162.5,4230.02254336
0:6,true,64,2,client,total,8.03611111111,0.32587770815,7206561.11111,128086.383157,241087.5,4285.98291581
0:6,true,64,2,server,1,18.1333333333,0.880480625686,529141.666667,10147.2665425,7288316.66667,140474.220948
0:6,true,64,2,server,2,12.8125,0.848335426456,529629.166667,10560.3874314,7291420.83333,148327.390425
0:6,true,64,2,server,3,13.4708333333,0.849743487397,529787.5,10339.6936666,7292087.5,145447.16194
0:6,true,64,2,server,total,14.8055555556,0.574909030901,529519.444444,10211.5729859,7290608.33333,142893.162891
0:6,false,64,2,mw,1,9.44166666667,0.535057865872,12495833.3333,414212.179876,12720833.3333,469741.976635
0:6,false,64,2,mw,2,8.26666666667,0.387570600619,14079166.6667,383351.678152,14366666.6667,384656.494611
0:6,false,64,2,mw,total,8.85416666667,0.383718390352,13287500.0,285583.026912,13543750.0,323422.004893
0:6,false,64,2,client,1,11.8416666667,0.514145885485,8786837.5,165763.892496,289362.5,5355.75291727
0:6,false,64,2,client,2,8.75,0.501755007151,9312854.16667,193539.594932,311716.666667,6353.86412436
0:6,false,64,2,client,3,9.25833333333,0.553660622031,8214083.33333,193655.046602,271400.0,6410.78556725
0:6,false,64,2,client,total,9.95,0.339096913396,8771258.33333,162931.752539,290826.388889,5270.63603705
0:6,false,64,2,server,1,15.7833333333,0.897096425802,482145.833333,9045.57047888,8771866.66667,206567.422748
0:6,false,64,2,server,2,11.2166666667,0.832024288296,481550.0,7926.89878401,8772591.66667,187455.363463
0:6,false,64,2,server,3,12.0375,0.873091650135,481620.833333,9270.24241942,8772312.5,204208.053801
0:6,false,64,2,server,total,13.0125,0.561569071306,481772.222222,8631.63064917,8772256.94444,198557.143903
0:9,true,64,2,mw,1,10.8291666667,0.793776336263,13525000.0,482536.08043,13908333.3333,494626.540845
0:9,true,64,2,mw,2,8.65833333333,0.503084717989,17408333.3333,389651.653005,17670833.3333,391519.633053
0:9,true,64,2,mw,total,9.74375,0.539536545142,15466666.6667,340017.373594,15789583.3333,348538.994059
0:9,true,64,2,client,1,10.6958333333,0.447508338559,9883783.33333,122783.929688,275683.333333,5097.88847936
0:9,true,64,2,client,2,7.79166666667,0.515238942016,10536375.0,283929.7935,298904.166667,5965.48764958
0:9,true,64,2,client,3,8.52916666667,0.485206612798,9691970.83333,155314.138306,267900.0,5044.22076742
0:9,true,64,2,client,total,9.00555555556,0.318664583437,10037376.3889,159820.947529,280829.166667,4777.0072237
0:9,true,64,2,server,1,20.9291666667,1.02526968083,661791.666667,10561.5036169,10012429.1667,172932.685242
0:9,true,64,2,server,2,14.6666666667,0.898506339853,647808.333333,11055.8962128,10019829.1667,191576.816171
0:9,true,64,2,server,3,14.8166666667,0.877760864371,571004.166667,11578.8125228,10007916.6667,169470.645181
0:9,true,64,2,server,total,16.8041666667,0.704337409288,626868.055556,10732.2627577,10013391.6667,170614.259358
0:9,false,64,2,mw,1,10.0666666667,0.574664336687,16704166.6667,465380.234117,17062500.0,465682.355537
0:9,false,64,2,mw,2,9.00416666667,0.442133142722,18775000.0,449331.430213,19129166.6667,501737.487466
0:9,false,64,2,mw,total,9.53541666667,0.371916530644,17739583.3333,342535.172771,18095833.3333,376689.816696
0:9,false,64,2,client,1,12.0958333333,0.625734448918,11261754.1667,252534.454035,333425.0,11006.3240995
0:9,false,64,2,client,2,8.97916666667,0.572073362856,12233333.3333,361276.063159,338254.166667,9004.80317994
0:9,false,64,2,client,3,9.76666666667,0.630673963616,11020475.0,262192.297856,312104.166667,13510.905503
0:9,false,64,2,client,total,10.2805555556,0.349569422375,11505187.5,246033.722212,327927.777778,8987.01290753
0:9,false,64,2,server,1,17.0625,0.86027135679,573016.666667,7803.83619466,11512500.0,275301.905625
0:9,false,64,2,server,2,11.8833333333,0.811485762077,571333.333333,7461.66951526,11512500.0,304415.466708
0:9,false,64,2,server,3,12.55,0.878081273531,571591.666667,7949.3783426,11516666.6667,290011.882001
0:9,false,64,2,server,total,13.8319444444,0.51844965553,571980.555556,7522.09383142,11513888.8889,272953.894867
