[RUN #1 42%,  38 secs]  2 threads:      117225 ops,    3061 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 44%,  39 secs]  2 threads:      120297 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 45%,  40 secs]  2 threads:      123369 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.62) msec latency
[RUN #1 46%,  41 secs]  2 threads:      126489 ops,    3107 (avg:    3073) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 47%,  42 secs]  2 threads:      129561 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 48%,  43 secs]  2 threads:      132633 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 49%,  44 secs]  2 threads:      135705 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 50%,  45 secs]  2 threads:      138825 ops,    3107 (avg:    3073) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 51%,  46 secs]  2 threads:      141897 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 52%,  47 secs]  2 threads:      144969 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 54%,  48 secs]  2 threads:      148041 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 55%,  49 secs]  2 threads:      151161 ops,    3107 (avg:    3072) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 56%,  50 secs]  2 threads:      154233 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 57%,  51 secs]  2 threads:      157305 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 58%,  52 secs]  2 threads:      160392 ops,    3074 (avg:    3072) ops/sec, 3.15MB/sec (avg: 3.15MB/sec), 15.56 (avg: 15.62) msec latency
[RUN #1 59%,  53 secs]  2 threads:      163512 ops,    3107 (avg:    3073) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.61 (avg: 15.62) msec latency
[RUN #1 60%,  54 secs]  2 threads:      166584 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 61%,  55 secs]  2 threads:      169656 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 62%,  56 secs]  2 threads:      172728 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 64%,  57 secs]  2 threads:      175848 ops,    3107 (avg:    3073) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 65%,  58 secs]  2 threads:      178920 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 66%,  59 secs]  2 threads:      181992 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
