Operation,Workers,Clients,Average Throughput (client),Std Throughput (client),Average Response Time (client),Std Response Time (client),Average Throughput (mw),Std Throughput (mw),Average Response Time (mw),Std Response Time (mw),Average Queue Time (mw),Std Queue Time (mw),Average Queue Length (mw),Std Queue Length (mw),Average Server Time (mw),Std Server Time (mw)
write,32,4,2550.6541666666667,68.12977696839248,3.134958333333333,0.125295468469248,2571.266666666667,68.90691475444456,2.0131028541666667,0.11056830331186555,0.022505145833333334,0.013105461003743846,0.029166666666666667,0.1918401676663805,1.9683149583333333,0.10828759070660914
write,32,8,4950.525,133.33978131201027,3.2321666666666666,0.13495956764562986,4984.383333333333,135.22386109000607,2.0211465208333332,0.10794045009533977,0.08669704166666667,0.017629541278114898,0.6125,1.5936097546793588,1.9136150416666666,0.10875505474010057
write,32,14,8334.441666666668,376.5621253390846,3.3655625,0.204055173497017,8397.633333333333,365.1873350476697,2.0219548333333335,0.11074521106802965,0.12985812500000002,0.020165567726647217,0.8541666666666666,2.1915545707422264,1.8732630208333334,0.1069526881345497
write,32,20,10988.970833333333,448.24811380605206,3.65725,0.31131001404295333,11063.125,455.1712825338552,2.1788729791666666,0.18573137042626134,0.13824552083333336,0.023599840268283604,1.9416666666666667,3.713135866587405,2.0201789375,0.18675197935447554
write,32,26,12800.916666666666,609.6602055639327,4.090916666666667,0.4258490148370869,12888.954166666666,622.083657869602,2.3872116458333332,0.24134812318760449,0.17653447916666667,0.02934444231040964,2.5458333333333334,4.67947348598079,2.1891031875,0.22954029344147983
write,32,32,14252.679166666667,939.8984506169302,4.770166666666667,5.607162655127615,14345.895833333334,886.5582985449788,2.6277328541666662,0.39722650544961297,0.19892885416666667,0.03481194114800635,3.3583333333333334,5.804046825594703,2.405922958333333,0.39197124952457985
write,64,2,1297.4041666666667,32.15806905211179,3.0794166666666665,0.1333464937833558,1307.3625,32.57495139150626,2.0735173958333335,0.11040715964618125,0.016209291666666667,0.0035758250458008648,0.020833333333333332,0.14312462505965154,2.0288718333333335,0.10760588930017133
write,64,4,2519.7791666666667,62.95988281827512,3.1734999999999998,0.13017829430814123,2539.7541666666666,65.98898398725996,2.0668748124999996,0.10922368555772309,0.026284208333333333,0.014249109608425214,0.0625,0.27490964662508915,2.01617675,0.10977659616234037
write,64,8,4950.541666666667,136.8762013314749,3.233166666666667,0.14911700206949394,4979.133333333333,144.91939374494729,2.0757307291666667,0.12055881291074667,0.10135566666666665,0.02267131163303401,0.5625,1.4536960540543618,1.9503450833333333,0.1142023054474509
write,64,14,8368.1875,200.3603507083756,3.3463958333333332,0.1378515796796719,8423.2375,189.82713411754477,2.0658221875,0.11431533102116417,0.13589658333333332,0.024686009019871114,1.1458333333333333,2.4356967277376413,1.9100016458333333,0.10691126650468746
write,64,20,11505.391666666666,436.2004221667671,3.4826875,0.1997965203157237,11589.283333333333,438.0756451239524,2.0965493958333337,0.13090375363411325,0.14456633333333332,0.02382042105376907,2.025,4.292569233875566,1.9324893958333333,0.12380210590352567
write,64,26,13413.029166666667,657.375232115164,3.8956874999999997,0.3465293871049736,13502.204166666666,655.2297211133397,2.3003264166666666,0.19074694170006037,0.1752713125,0.03311369161204643,2.4166666666666665,3.940102441871369,2.103969375,0.18092986193522848
write,64,32,14732.195833333333,884.4298349993398,4.396416666666666,0.6492925918780994,14847.554166666667,875.1282208404873,2.5500572291666668,0.3082271160940367,0.2008371875,0.035337771275395405,3.2291666666666665,5.426725988216606,2.3271646458333333,0.29570975212769596
